embedding,label,n_cells,n_classes,knn_k,knn_local_purity,random_local_purity,knn_purity_enrichment,silhouette
atlas SP,broad_cell_type,30000,18,15,0.7276044444444445,0.2039496911111111,3.5675682590176025,-0.07446981966495514
atlas SP,medium_cell_type,30000,59,15,0.5630866666666666,0.08506517777777776,6.619473224844845,-0.0972210094332695
atlas SP,specific_cell_type,30000,144,15,0.3754133333333333,0.030609995555555554,12.26440339241401,-0.23211722075939178
logit homo,broad_cell_type,30000,18,15,0.8506466666666667,0.2039496911111111,4.170865187548812,0.019267262890934944
logit homo,medium_cell_type,30000,59,15,0.6956288888888889,0.08506517777777776,8.17759871972681,-0.021976618096232414
logit homo,specific_cell_type,30000,144,15,0.4520577777777778,0.030609995555555554,14.768305893978859,-0.134924054145813
PSI homo,broad_cell_type,30000,18,15,0.8177977777777777,0.2039496911111111,4.009801502137329,0.02104700170457363
PSI homo,medium_cell_type,30000,59,15,0.6364711111111111,0.08506517777777776,7.48215812554713,-0.05933050066232681
PSI homo,specific_cell_type,30000,144,15,0.3957888888888889,0.030609995555555554,12.930053784900185,-0.3047448396682739
PSI hetero q25,broad_cell_type,30000,18,15,0.8148511111111111,0.2039496911111111,3.995353494637964,0.0064169131219387054
PSI hetero q25,medium_cell_type,30000,59,15,0.6272133333333333,0.08506517777777776,7.373326544639105,-0.09204340726137161
PSI hetero q25,specific_cell_type,30000,144,15,0.37527555555555553,0.030609995555555554,12.259902320941206,-0.31848013401031494
